Name,Domain,Status,Notes,Sources,clean_domain,russian_prop
weltt[.]lol,weltt[.]lol,,Spoofs Welt.,[2],weltt.lol,1
zestiftung[.]com,zestiftung[.]com,,,[1][2],zestiftung.com,1
12com[.]ru,12com[.]ru,,,[17],12com.ru,1
2memo[.]ru,2memo[.]ru,,,[17],2memo.ru,1
4erkessk[.]ru,4erkessk[.]ru,,,[17],4erkessk.ru,1
4memo[.]net,4memo[.]net,,,[17],4memo.net,1
5-gorsk[.]ru,5-gorsk[.]ru,,,[17],5-gorsk.ru,1
5lavr[.]org,5lavr[.]org,,,[17],5lavr.org,1
abakan-pyatnitsa[.]ru,abakan-pyatnitsa[.]ru,,,[17],abakan-pyatnitsa.ru,1
aban-pyatnitsa[.]ru,aban-pyatnitsa[.]ru,,,[17],aban-pyatnitsa.ru,1
abaz-vestnik[.]ru,abaz-vestnik[.]ru,,,[17],abaz-vestnik.ru,1
abinskaya-linia[.]ru,abinskaya-linia[.]ru,,,[17],abinskaya-linia.ru,1
achkhoi-martan[.]ru,achkhoi-martan[.]ru,,,[17],achkhoi-martan.ru,1
afip-den[.]ru,afip-den[.]ru,,,[17],afip-den.ru,1
aginskoe-today[.]ru,aginskoe-today[.]ru,,,[17],aginskoe-today.ru,1
ahtirka[.]ru,ahtirka[.]ru,,,[17],ahtirka.ru,1
ahtubinsk-projektor[.]ru,ahtubinsk-projektor[.]ru,,,[17],ahtubinsk-projektor.ru,1
ahtyrka-info[.]ru,ahtyrka-info[.]ru,,,[17],ahtyrka-info.ru,1
aihal-vesti[.]ru,aihal-vesti[.]ru,,,[17],aihal-vesti.ru,1
ak-dovurak[.]press,ak-dovurak[.]press,,,[17],ak-dovurak.press,1
aksaysovet[.]ru,aksaysovet[.]ru,,,[17],aksaysovet.ru,1
akua-suhum[.]info,akua-suhum[.]info,,,[17],akua-suhum.info,1
alagirskie-dni[.]ru,alagirskie-dni[.]ru,,,[17],alagirskie-dni.ru,1
aldanvecher[.]ru,aldanvecher[.]ru,,,[17],aldanvecher.ru,1
aleksah[.]ru,aleksah[.]ru,,,[17],aleksah.ru,1
aleksandriyskaya[.]ru,aleksandriyskaya[.]ru,,,[17],aleksandriyskaya.ru,1
aleksandrov-sloboda[.]ru,aleksandrov-sloboda[.]ru,,,[17],aleksandrov-sloboda.ru,1
aleut-star[.]ru,aleut-star[.]ru,,,[17],aleut-star.ru,1
alexsandrov-sloboda[.]ru,alexsandrov-sloboda[.]ru,,,[17],alexsandrov-sloboda.ru,1
all-yalta[.]ru,all-yalta[.]ru,,,[17],all-yalta.ru,1
alleroi[.]ru,alleroi[.]ru,,,[17],alleroi.ru,1
alleroy-utro[.]ru,alleroy-utro[.]ru,,,[17],alleroy-utro.ru,1
altai-week[.]ru,altai-week[.]ru,,,[17],altai-week.ru,1
altaiskaya-iskra[.]ru,altaiskaya-iskra[.]ru,,,[17],altaiskaya-iskra.ru,1
alter-info[.]ru,alter-info[.]ru,,,[17],alter-info.ru,1
amak[.]ru,amak[.]ru,,,[17],amak.ru,1
amur-liman[.]ru,amur-liman[.]ru,,,[17],amur-liman.ru,1
amur-novosti[.]ru,amur-novosti[.]ru,,,[17],amur-novosti.ru,1
amurzori[.]ru,amurzori[.]ru,,,[17],amurzori.ru,1
amzvezda[.]ru,amzvezda[.]ru,,,[17],amzvezda.ru,1
anuzori[.]ru,anuzori[.]ru,,,[17],anuzori.ru,1
anyui[.]ru,anyui[.]ru,,,[17],anyui.ru,1
anzhero-sudzhenski[.]ru,anzhero-sudzhenski[.]ru,,,[17],anzhero-sudzhenski.ru,1
apatites[.]ru,apatites[.]ru,,,[17],apatites.ru,1
apchas[.]ru,apchas[.]ru,,,[17],apchas.ru,1
ar-asb[.]ru,ar-asb[.]ru,,,[17],ar-asb.ru,1
aramil-vesti[.]ru,aramil-vesti[.]ru,,,[17],aramil-vesti.ru,1
ardonvestnik[.]ru,ardonvestnik[.]ru,,,[17],ardonvestnik.ru,1
argayash-m[.]ru,argayash-m[.]ru,,,[17],argayash-m.ru,1
argumenty-kuragino[.]ru,argumenty-kuragino[.]ru,,,[17],argumenty-kuragino.ru,1
argungazeta[.]ru,argungazeta[.]ru,,,[17],argungazeta.ru,1
armavir-zerkalo[.]ru,armavir-zerkalo[.]ru,,,[17],armavir-zerkalo.ru,1
armvestnik[.]ru,armvestnik[.]ru,,,[17],armvestnik.ru,1
artem-plus[.]ru,artem-plus[.]ru,,,[17],artem-plus.ru,1
arzamas-gazeta[.]ru,arzamas-gazeta[.]ru,,,[17],arzamas-gazeta.ru,1
arzvest[.]ru,arzvest[.]ru,,,[17],arzvest.ru,1
askiz-press[.]ru,askiz-press[.]ru,,,[17],askiz-press.ru,1
astapovskie[.]ru,astapovskie[.]ru,,,[17],astapovskie.ru,1
